"Aca_ca"	"All_ma"	"Amp_sp"	"Ant_lo"	"Bat_de"	"Bla_br"	"Cap_ow"	"Cat_an"	"Chr_pe"	"Cop_ci"	"Cor_li"	"Dic_pu"	"Enc_cu"	"Enc_in"	"Ent_bi"	"Ent_hi"	"Fon_al"	"Gan_pr"	"Ich_ho"	"Lei_ma"	"Mit_da"	"Mon_br"	"Mor_ve"	"Nae_gr"	"Nem_pa"	"Nos_ce"	"Par_at"	"Par_sa"	"Par_tr"	"Phy_in"	"Pla_fa"	"Pol_pa"	"Roz_al"	"Sal_ro"	"Sch_po"	"Sph_ar"	"Spi_pu"	"The_tr"	"Tox_go"	"Try_br"	"Ust_ma"
"KOG1250"	1	5	0	0	2	1	3	1	2	2	1	2	0	0	0	6	0	1	1	0	0	2	2	2	0	0	3	0	13	3	0	2	2	3	1	2	2	1	0	0	3
"KOG1251"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0
"KOG1252"	1	2	0	0	1	1	3	2	3	1	2	2	0	0	0	4	1	2	1	2	4	1	3	2	0	0	4	1	6	3	0	1	2	2	0	2	2	1	1	1	1
"KOG1254"	1	3	0	0	1	2	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	1	2	0	0	0	2	1	2	1	0	1	0	1	1	0	1	1	1	0	1
"KOG1255"	1	2	0	0	1	1	1	1	1	1	2	1	0	0	0	0	1	1	1	2	2	1	2	1	0	0	1	1	1	1	1	1	0	1	1	1	1	2	1	1	2
"KOG1256"	16	24	4	1	4	11	8	7	5	5	4	7	3	4	2	56	3	6	3	2	10	4	10	13	1	1	7	1	12	11	13	19	6	13	2	24	5	5	13	2	2
"KOG1257"	1	0	0	0	0	0	0	0	2	2	2	1	0	0	0	2	2	2	1	1	0	1	3	4	0	0	1	0	0	2	0	1	0	1	2	1	3	2	0	2	1
"KOG1260"	1	2	0	0	1	1	1	1	1	2	1	1	0	0	0	0	0	1	1	0	2	1	1	0	0	0	2	1	6	1	0	1	6	1	1	1	1	0	0	0	2
"KOG1261"	0	2	0	0	1	1	1	1	1	1	1	2	0	0	0	0	0	1	0	0	2	0	2	0	0	0	1	1	2	5	0	1	2	0	0	0	1	0	0	0	1
"KOG1262"	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
"KOG1263"	0	5	0	0	3	2	0	1	0	17	0	0	0	0	0	0	0	7	0	0	0	2	5	2	0	0	0	0	0	3	0	0	0	2	1	1	2	0	0	0	6
"KOG1264"	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0
"KOG1265"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"KOG1269"	3	0	0	0	1	0	1	0	1	4	4	2	0	0	0	0	1	2	3	2	0	2	4	2	0	0	4	0	2	2	1	2	0	0	2	3	1	3	1	1	2
"KOG1270"	1	1	0	0	0	1	0	1	0	4	0	1	0	0	0	0	0	1	0	1	0	1	2	1	0	0	0	0	0	1	1	1	0	1	2	1	0	0	1	1	3
"KOG1276"	0	2	0	0	1	1	3	1	1	1	1	1	0	0	0	0	3	1	0	0	0	1	1	0	0	0	1	0	1	1	0	1	0	1	1	2	1	1	0	0	1
"KOG1281"	2	6	0	0	1	2	2	1	4	1	2	0	0	0	0	0	0	1	3	1	0	0	2	2	1	0	0	1	3	1	0	0	1	0	1	1	1	0	1	1	1
"KOG1284"	0	4	0	0	2	2	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	1	3	3	0	0	0	0	1	0	1	0	0	0	2
"KOG1285"	2	6	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	5	1	0	0	0	1	4	0	0	0	0	0	0	0	1	1	0	0	2
"KOG1286"	3	0	0	0	0	0	0	1	7	3	0	2	0	0	0	0	1	1	3	0	2	0	0	0	0	0	1	2	1	9	0	2	2	0	7	3	0	0	0	1	7
"KOG1287"	3	11	2	0	1	5	0	3	0	5	0	3	1	1	1	3	0	3	1	3	0	1	2	0	0	0	0	1	0	9	0	1	0	1	0	2	2	1	0	2	1
"KOG1288"	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	2	2	1	1	2	3	0	0	1
"KOG1289"	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	28	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	6
"KOG1291"	1	0	0	0	0	0	1	0	3	1	5	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	7	1	2	2	2	1	5	0	0	1	0	1
"KOG1292"	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
"KOG1298"	1	4	0	0	1	1	3	1	1	2	1	1	0	0	0	0	1	1	1	1	0	0	2	2	0	0	1	0	2	0	0	1	0	0	1	1	1	1	0	1	1
"KOG1303"	1	0	0	0	1	1	1	0	21	0	15	0	0	0	0	0	2	1	2	0	0	0	7	2	0	0	2	0	0	2	1	0	0	4	0	6	0	6	0	1	0
"KOG1304"	5	12	0	0	1	1	1	1	3	1	3	1	0	0	0	0	1	1	2	4	0	1	5	2	0	0	6	0	1	6	0	3	0	3	1	3	1	2	3	2	1
"KOG1305"	5	6	1	2	3	3	6	2	10	2	5	0	4	6	2	9	4	3	3	21	8	6	3	6	3	7	9	5	8	8	0	0	9	4	1	12	3	11	0	29	2
"KOG1306"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	18	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	8	0	0	0
"KOG1307"	0	0	0	0	0	0	1	0	2	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
"KOG1316"	0	2	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	3	1	0	0	0	2	2	1	1	0	0	0	1
"KOG1317"	1	6	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	1	0	0	4	0	1	1	0	0	1	0	1	1	0	2	2	1	1	0	2	2	0	0	1
"KOG1321"	1	2	0	0	2	1	1	1	1	1	1	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	3	1	1	1	2	0	1	2	1	1	1	0	1
"KOG1324"	1	2	1	0	1	1	2	1	2	1	2	0	1	2	0	0	1	1	0	1	2	1	1	0	0	0	3	2	0	2	1	0	2	1	1	1	1	1	1	1	1
"KOG1325"	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	3	2	0	0	0	1
"KOG1329"	7	4	0	2	0	1	2	1	1	2	4	3	1	1	0	3	0	2	3	0	2	0	3	3	0	0	4	1	3	21	0	5	1	0	0	10	1	0	0	0	1
"KOG1330"	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	1	0	2	0	2	0	0	1	0	0	2	2	0	0	2	0	2	0	4	3	2	0
"KOG1331"	2	2	1	1	2	2	1	1	2	1	2	1	1	1	0	2	1	1	0	1	2	1	1	1	1	1	1	1	0	1	1	1	2	1	1	4	2	0	1	1	1
"KOG1335"	1	2	0	0	1	1	1	2	2	1	2	1	0	0	0	0	1	1	2	5	2	3	1	2	0	0	2	1	1	5	2	1	1	2	1	2	1	2	2	5	1
"KOG1336"	1	1	0	0	2	2	1	2	1	5	1	0	0	0	0	0	1	11	0	0	0	1	3	1	0	0	5	1	2	6	1	0	4	1	1	0	3	1	2	0	4
"KOG1340"	6	0	0	0	0	0	2	0	0	0	0	15	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	9	0	1	0	4	0	1	0	0	0
"KOG1341"	4	2	0	0	0	0	2	2	0	2	0	1	0	0	0	4	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	0	2	2	0	1	0	0	1
"KOG1350"	1	4	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	2	2	1	1	1	0	0	3	1	3	1	1	1	2	1	0	1	1	1	1	1	1
"KOG1351"	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
"KOG1352"	3	2	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	1	1	2	1	1	1	1	1	2	1	0	1	1	1	1	1	1
"KOG1353"	0	3	0	0	1	1	1	1	1	1	1	0	0	0	0	0	2	1	0	2	2	1	2	0	0	0	2	1	2	1	1	0	2	1	1	1	1	1	1	1	1
"KOG1355"	2	2	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	2	1	1	1	0	0	2	0	3	1	1	1	0	1	1	1	1	1	1	1	1
"KOG1359"	1	2	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	1	1	0	2	0	0	0	1	0	0	1	2	0	1	1
"KOG1360"	0	2	0	0	2	1	1	1	1	1	2	1	0	0	0	0	0	2	1	0	0	1	1	0	0	0	1	0	2	2	1	1	2	1	1	5	1	0	1	0	1
"KOG1362"	2	15	0	2	4	4	2	6	1	2	2	4	0	0	0	0	1	4	2	2	6	1	7	2	0	2	4	4	10	13	0	3	3	4	1	1	5	6	1	5	2
"KOG1367"	1	2	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	5	2	1	1	1	1	1	2	1	3	2	1	1	2	2	1	1	1	2	2	4	1
"KOG1368"	0	3	0	0	1	1	1	2	0	1	1	0	0	0	0	0	0	2	0	0	0	1	3	0	0	0	1	0	3	2	0	0	2	1	1	1	1	1	0	0	1
"KOG1369"	0	4	1	1	2	1	1	2	1	2	1	0	1	1	0	3	1	2	1	2	2	0	6	0	1	1	1	1	2	0	1	0	1	0	1	2	2	0	1	2	2
"KOG1370"	1	2	0	0	1	2	1	1	2	1	2	1	0	0	0	1	1	1	0	1	2	1	2	0	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
"KOG1372"	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	2	1	4	3	0	0	2	1	2	1	1	2	2	1	0	1	1	0	1	1	0
"KOG1377"	1	2	0	0	1	1	1	1	1	1	2	1	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	0	1	0	0	1	0	1	1	2	1	0	0	0	1
"KOG1378"	12	0	0	0	0	0	11	0	0	0	3	8	0	0	0	0	0	0	0	0	0	9	0	6	0	0	2	0	3	20	0	11	0	7	0	0	0	5	0	0	1
"KOG1380"	1	4	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	1	2	1	1	1	0	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"KOG1381"	0	2	0	0	1	1	0	1	1	4	1	0	0	0	0	0	0	1	1	1	2	0	1	1	0	0	8	1	2	1	1	1	0	0	1	2	1	1	1	1	1
"KOG1382"	1	0	0	0	0	0	2	0	2	2	1	2	0	0	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	5	0	0	0	0	3	2	5	1	0	0	4
"KOG1383"	3	2	0	0	1	1	2	1	1	3	2	6	0	0	0	3	2	5	2	1	0	2	2	1	0	0	3	1	4	2	0	4	0	2	0	2	2	1	0	1	2
"KOG1385"	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	2	4	2	1	0	1	0	0	1	4	0	0	0	2	2	0	1	2	0	0	2	1
"KOG1386"	0	2	0	0	1	1	1	1	2	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	3	0	1	0	2	1	1	3	1	1	3	0	1
"KOG1389"	3	2	0	1	1	1	1	1	0	3	1	1	1	1	0	0	1	3	0	0	2	1	3	0	0	0	5	2	4	1	0	1	2	1	0	0	2	1	1	0	3
"KOG1390"	2	5	0	0	3	2	1	2	1	1	0	1	0	0	0	0	2	3	1	0	0	1	2	2	0	1	3	3	2	3	1	2	2	1	1	1	2	2	1	0	1
"KOG1391"	0	2	0	0	1	1	1	1	1	0	2	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	3	1	0	1	2	1	0	2	1	2	0	0	1
"KOG1392"	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1	2	0	2	1	1	0	0	2	0	0	1	0	0	0	2	0	1	0	1	0	0	0
"KOG1393"	1	2	0	1	1	1	2	1	1	1	1	2	1	1	0	0	1	2	0	1	4	1	1	1	0	1	1	1	2	2	0	2	2	0	1	3	1	1	0	1	1
"KOG1394"	0	2	0	0	1	0	3	1	1	1	0	1	0	0	0	0	0	0	1	1	2	1	1	1	0	0	1	1	4	1	1	1	2	1	1	1	1	1	1	1	1
"KOG1395"	1	2	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	2	0	1	1	0	0	0	1	1	5	1	0	0	0	1
"KOG1397"	4	6	0	0	2	3	0	2	1	6	2	1	0	0	0	0	1	3	1	0	0	0	5	2	0	0	1	0	5	1	1	2	4	0	1	1	2	1	1	0	3
"KOG1399"	3	0	0	0	1	0	2	0	3	9	5	2	0	0	0	0	1	8	1	1	0	5	1	3	0	0	3	0	0	2	0	1	0	3	1	6	5	1	0	1	7
"KOG1401"	0	4	0	0	0	1	2	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	1	0	1	0	0	1	1	1	0	0	0	1
"KOG1402"	0	2	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	0	2	1	1	1	0	0	2	1	1	1	1	1	2	1	2	1	1	1	1	0	1
"KOG1403"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"KOG1404"	2	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	0	1
"KOG1405"	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
"KOG1406"	3	0	0	0	1	1	3	1	0	1	1	0	0	0	0	0	0	5	0	2	0	1	1	1	0	0	4	0	0	0	0	0	0	1	0	0	1	0	0	2	1
"KOG1411"	5	4	1	0	2	2	2	2	2	2	2	2	0	0	0	0	2	1	1	1	2	2	3	2	0	0	2	0	4	1	1	2	4	2	1	4	2	3	1	1	2
"KOG1412"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"KOG1413"	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	3	0	0	2	0	0	0	0	1	1	1	0	0	0	2	1	0	0
"KOG1417"	1	2	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	5	0	0	0	1	1	1	0	0	1	1	5	1	0	1	2	1	0	1	1	1	0	0	1
"KOG1418"	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	4	0	0	0	2	3	3	0	0	3	0	0	1	0	0	0	2	0	3	1	7	0	0	1
"KOG1419"	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0
"KOG1420"	2	6	0	0	2	0	0	2	0	0	2	3	0	0	0	3	0	0	0	1	0	0	0	6	0	0	3	0	4	8	0	2	2	0	0	0	2	4	0	0	0
"KOG1422"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"KOG1426"	102	7	1	1	5	5	10	3	67	11	12	26	1	1	1	19	3	17	11	8	6	6	23	99	1	1	33	1	6	43	15	25	4	47	1	9	10	12	83	8	3
"KOG1429"	1	0	0	0	1	0	1	0	3	2	1	0	0	0	0	0	1	2	2	0	0	2	1	1	0	0	3	1	3	1	0	0	2	1	0	3	1	1	0	0	1
"KOG1430"	4	3	0	0	1	1	3	1	3	3	2	3	0	0	0	1	1	3	1	1	0	6	2	4	0	0	7	0	1	2	0	3	1	5	1	3	1	1	0	1	1
"KOG1431"	2	0	2	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	1	1	2	0	0	2	1	2	1	1	1	2	1	0	1	1	1	1	1	0
"KOG1435"	3	5	0	0	3	2	1	1	2	3	4	2	0	0	0	0	2	2	1	2	0	4	2	6	0	0	7	1	7	1	0	3	0	3	2	2	2	1	0	1	2
"KOG1436"	1	2	0	0	1	1	1	1	1	2	2	0	0	0	0	0	1	1	0	1	0	1	1	1	0	0	2	0	3	2	1	0	0	1	0	1	1	0	1	1	1
"KOG1438"	0	2	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	1	0	1	0	0	0	1
"KOG1440"	0	4	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	2	1	2	0	1	1	1	1	1	8	1	1	2	1	1	1	1	1	1	1	1
"KOG1441"	4	7	2	0	3	4	2	4	2	4	4	2	0	0	0	0	1	4	2	3	0	7	4	7	0	0	8	2	13	3	2	2	4	8	1	9	5	8	1	1	2
"KOG1442"	3	0	2	0	0	0	0	0	2	2	0	1	0	0	0	0	1	1	0	0	2	1	5	3	0	0	2	1	3	0	1	2	2	1	1	1	1	2	1	0	0
"KOG1443"	0	4	0	1	2	2	1	2	3	1	1	0	1	1	4	0	1	3	0	0	0	1	1	0	0	1	2	1	2	1	0	0	2	1	1	1	1	0	0	0	1
"KOG1444"	2	2	0	2	1	0	5	1	3	1	2	2	1	1	0	0	1	1	4	1	2	2	2	2	1	1	7	1	2	2	0	2	1	3	1	4	1	3	0	1	1
"KOG1447"	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	2	0	0	0	0	0	0	0	0
"KOG1448"	3	12	0	0	3	4	3	4	3	2	3	3	0	0	0	1	3	4	1	4	6	1	4	2	0	0	5	2	12	3	1	2	4	2	3	6	3	1	1	4	2
"KOG1455"	4	6	0	0	1	2	1	1	2	1	1	2	0	0	0	2	0	3	1	1	0	4	2	1	0	0	3	0	1	8	0	2	2	3	1	7	3	4	1	2	1
"KOG1458"	1	8	0	0	1	1	2	1	2	1	2	1	0	0	0	0	1	1	1	1	2	1	1	0	0	0	1	1	3	1	0	1	2	1	1	2	1	0	3	2	1
"KOG1459"	1	2	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	3	1	0	0	1	1	5	0	0	1	0	1	1	1	1	1	0	1	1
"KOG1469"	0	2	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	5	0	0	0	1	2	1	0	0	0	0	0	2	0	0	0	1	0	1	1	1	0	0	1
"KOG1470"	3	8	0	0	3	4	4	3	4	3	3	3	0	0	0	0	1	8	1	3	4	1	9	10	0	0	4	2	3	0	2	4	1	1	3	4	3	5	3	1	4
"KOG1471"	3	4	0	0	3	2	6	3	3	4	2	3	0	0	0	0	1	4	1	7	2	8	2	0	0	0	21	0	5	9	1	1	4	8	0	1	5	4	1	0	3
"KOG1478"	0	2	0	0	1	1	1	1	1	0	1	0	0	0	0	0	2	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0
"KOG1479"	1	2	1	0	1	0	2	1	5	1	2	3	0	0	0	0	1	1	0	3	6	1	1	4	0	0	4	2	4	10	0	2	0	2	0	4	0	2	0	0	1
"KOG1481"	2	4	0	0	1	2	1	2	5	2	1	1	0	0	0	0	1	2	0	0	2	3	2	0	0	0	3	0	2	4	0	1	2	4	1	4	2	1	1	0	2
"KOG1482"	1	2	0	0	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	2	0	2	0	1	1	2	0	0	3	1	1	2	0	0	2	2	3	1	2	0
"KOG1483"	1	4	0	1	1	1	2	1	1	2	0	1	0	1	0	5	1	1	1	0	0	1	1	2	0	0	5	0	2	0	0	1	0	1	1	1	0	0	0	0	1
"KOG1484"	2	3	0	0	1	2	2	1	4	1	3	3	0	0	0	5	1	2	2	1	2	1	1	1	0	0	2	0	1	2	1	2	2	2	1	4	1	3	0	1	1
"KOG1485"	1	7	0	0	1	2	1	2	1	2	1	2	0	0	0	2	1	2	0	1	0	0	2	5	0	0	2	0	2	7	0	1	0	0	1	2	3	2	0	1	3
"KOG1490"	2	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	6	1	2	1	1	1	2	1	2	2	2	1	1	2	1	1	1	1	1	1	1
"KOG1494"	0	2	1	0	2	1	1	1	1	2	1	0	0	0	0	0	1	2	1	5	2	1	5	0	0	0	1	1	2	2	0	0	2	1	1	2	3	1	0	3	2
"KOG1495"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	2	0	3	0	0	1	1	0	1	0	3	0	0
"KOG1496"	3	4	0	0	1	1	1	1	1	0	1	3	0	0	0	4	1	0	0	1	0	2	0	3	0	0	3	1	0	1	0	3	2	1	0	0	1	1	0	1	0
"KOG1503"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0
"KOG1504"	0	2	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	3	1	0	0	0	1
"KOG1505"	1	6	2	2	2	2	3	3	5	1	3	2	2	2	3	3	0	2	2	1	4	4	1	2	2	3	5	1	4	8	0	1	1	3	1	7	1	4	0	1	1
"KOG1506"	1	2	0	0	1	1	1	1	1	1	1	1	0	0	2	3	1	1	1	2	2	1	2	3	1	1	1	1	5	1	1	1	2	1	1	1	1	1	1	6	1
"KOG1511"	1	2	0	0	1	1	1	1	1	1	1	1	0	1	0	0	1	2	0	1	0	0	1	2	0	1	1	0	2	1	0	1	2	1	1	1	2	1	0	1	1
"KOG1516"	4	0	0	0	2	0	0	0	0	6	0	3	0	0	0	0	1	2	0	1	0	3	3	5	0	0	0	1	1	1	0	3	0	1	1	0	0	0	0	0	4
"KOG1518"	1	2	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	2	0	0	0	1	0	3	2	1	1	2	1	0	0	1	1	1	0	1
"KOG1520"	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	2	0	0	0	1	0	0	1	0	0
"KOG1524"	0	2	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	4	1	0	0	0	1	0	0	2	1	0	1	0
"KOG1526"	2	2	0	0	1	0	2	1	1	1	1	2	0	0	0	0	1	1	1	1	4	0	3	1	0	0	5	1	1	2	1	2	4	0	1	0	1	0	2	2	1
"KOG1527"	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	1	0	0	2	0	0	0	2	1	2	1	0	0	0	1
"KOG1528"	1	2	1	0	1	1	0	1	0	1	0	1	0	0	0	1	1	1	0	0	2	1	1	0	0	0	2	0	2	0	0	1	2	0	1	0	1	0	0	0	1
"KOG1530"	1	2	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	4	0	1	2	4	0	0	0	1	0	0	0	2	2	1	1	1	1	1	0	3	1
"KOG1531"	0	2	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	1	2	1	2	0	0	0	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1
"KOG1535"	1	2	0	0	1	2	1	1	1	4	1	2	0	0	0	0	0	4	1	1	2	2	3	1	0	0	2	0	2	2	0	2	2	2	1	1	1	1	0	0	2
"KOG1536"	0	2	0	0	1	1	1	0	2	1	1	1	0	0	0	0	0	1	0	0	2	0	2	0	0	0	2	1	2	1	0	1	1	0	1	2	1	1	0	0	1
"KOG1537"	1	1	0	0	1	1	0	2	0	1	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	0	1	0	1
"KOG1539"	2	2	1	1	1	2	1	1	1	1	1	1	1	1	0	3	1	1	1	1	2	1	1	1	0	1	5	1	5	2	1	1	2	1	1	3	1	2	1	1	1
"KOG1540"	1	2	0	0	1	1	0	1	1	1	0	1	0	0	0	0	0	1	0	1	2	0	1	1	0	0	1	1	2	2	1	2	0	0	1	1	1	1	1	1	1
"KOG1541"	2	3	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	3	2	1	1	2	1	1	2	1	1	1	1	1
"KOG1545"	1	1	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	2	0	1	2	1	0	0	0	0	0	0	0
"KOG1549"	1	2	1	1	1	1	4	1	2	1	2	1	1	1	1	1	1	2	2	3	2	3	1	1	1	1	2	1	2	2	1	1	2	4	1	2	1	1	2	2	1
"KOG1557"	1	4	1	0	1	1	1	2	1	0	1	1	0	1	0	0	1	1	0	2	2	0	0	1	1	1	1	1	2	0	1	1	2	0	0	2	1	1	2	1	0
"KOG1558"	3	0	0	1	3	1	6	1	11	3	3	3	0	1	1	0	3	4	1	5	4	0	5	1	1	1	4	1	1	7	1	3	1	1	1	3	2	2	0	6	2
"KOG1559"	4	0	0	0	0	0	2	0	2	0	4	4	0	0	0	0	0	0	1	0	0	2	0	3	0	0	0	0	3	1	0	1	0	2	0	3	0	2	1	0	0
"KOG1562"	2	2	0	0	1	1	1	1	2	1	2	1	0	0	0	0	1	1	0	1	0	2	1	2	0	0	2	0	1	2	1	1	0	2	1	2	2	0	0	1	1
"KOG1563"	1	2	0	0	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	1	1	2	1	0	1	0	1	1	1	1	1	0	1	0
"KOG1567"	3	2	1	0	2	1	1	3	3	2	2	1	1	1	24	0	1	1	0	2	2	1	1	3	1	1	3	1	3	2	2	2	2	1	1	1	2	1	1	3	1
"KOG1575"	0	5	0	0	0	0	2	0	0	13	1	1	0	0	0	0	1	14	1	0	0	0	1	15	0	0	1	0	1	20	2	1	0	2	7	3	1	0	2	0	4
"KOG1576"	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
"KOG1578"	0	0	0	0	0	0	3	0	0	6	1	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	4	0	1	0	0	1	1	0	0	0	0	1
"KOG1579"	2	2	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	2	1	0	1	1	1	0	0	3	0	2	1	0	1	0	1	0	1	1	1	0	1	0
"KOG1580"	2	0	0	0	0	0	0	0	1	0	2	1	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	1	1	0	0
