"Aca_ca"	"All_ma"	"Amp_sp"	"Ant_lo"	"Bat_de"	"Bla_br"	"Cap_ow"	"Cat_an"	"Chr_pe"	"Cop_ci"	"Cor_li"	"Dic_pu"	"Enc_cu"	"Enc_in"	"Ent_bi"	"Ent_hi"	"Fon_al"	"Gan_pr"	"Ich_ho"	"Lei_ma"	"Mit_da"	"Mon_br"	"Mor_ve"	"Nae_gr"	"Nem_pa"	"Nos_ce"	"Par_at"	"Par_sa"	"Par_tr"	"Phy_in"	"Pla_fa"	"Pol_pa"	"Roz_al"	"Sal_ro"	"Sch_po"	"Sph_ar"	"Spi_pu"	"The_tr"	"Tox_go"	"Try_br"	"Ust_ma"
"KOG0159"	0	11	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
"KOG0169"	1	7	0	0	1	1	9	1	3	3	2	1	0	0	0	0	2	2	4	3	0	7	1	4	0	0	8	0	2	0	1	1	0	6	1	4	1	1	1	1	2
"KOG0172"	5	6	0	0	3	3	5	4	3	3	4	2	0	0	0	3	1	3	1	0	4	3	3	3	0	0	8	1	5	1	0	2	2	4	1	5	3	3	0	0	2
"KOG0186"	0	2	0	0	1	1	0	1	2	1	1	1	0	0	0	0	1	2	1	1	4	1	2	1	0	0	1	0	1	1	0	1	2	1	1	1	1	1	1	1	1
"KOG0189"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	1
"KOG0202"	2	10	1	0	3	3	8	7	1	4	2	1	0	0	0	1	2	4	1	3	2	2	8	3	0	0	5	2	20	20	2	1	6	2	2	2	7	1	2	2	4
"KOG0203"	1	6	0	0	3	3	2	4	3	1	2	3	0	0	0	0	0	7	0	0	2	4	4	5	0	0	4	2	8	2	0	3	6	6	0	1	4	2	0	0	2
"KOG0204"	2	10	1	0	3	3	4	3	3	1	1	3	0	0	0	9	1	7	2	4	2	3	4	5	0	0	4	1	3	5	0	6	3	2	1	8	3	6	2	2	1
"KOG0205"	2	0	0	0	0	0	1	0	7	2	1	1	0	0	0	0	1	0	1	2	2	0	2	0	0	0	10	0	1	4	0	1	0	0	2	6	1	1	2	1	2
"KOG0206"	6	18	0	0	4	7	5	5	4	3	2	5	1	1	1	17	3	4	2	4	2	2	4	15	1	1	15	1	15	8	4	5	1	2	3	7	6	5	5	3	2
"KOG0207"	3	5	0	0	2	2	4	2	2	1	3	3	0	0	0	0	1	1	2	1	2	2	3	3	0	0	5	0	3	6	1	3	6	4	1	5	3	3	3	1	2
"KOG0208"	1	4	3	0	4	2	2	6	2	1	1	2	1	1	3	0	1	3	2	0	6	1	3	5	1	1	9	1	4	17	2	2	4	1	2	6	2	0	3	0	3
"KOG0209"	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	4	2	1	1	1	1	3	1	4	2	1	1	2	2	1	3	1	2	1	1	1
"KOG0210"	0	1	2	2	1	1	2	1	1	1	1	1	1	1	1	8	1	0	4	2	4	0	1	1	1	1	5	1	4	0	1	1	1	0	1	4	1	0	1	1	1
"KOG0222"	1	3	0	0	0	1	1	1	1	2	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	3
"KOG0223"	3	2	1	1	1	1	1	1	0	0	1	3	0	1	2	0	0	4	0	5	2	2	3	2	1	1	4	1	2	0	0	7	0	2	0	4	2	3	1	0	2
"KOG0224"	0	10	0	0	1	3	2	1	0	2	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	1	21	1	0	0	0	1	3	1	0	0	3	4
"KOG0225"	0	2	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1
"KOG0228"	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	6	0	1	0	0	0	0	0	0	0	3	0	0	0	1	2	0	0	1	0	0	2
"KOG0231"	11	8	0	0	6	3	0	3	6	0	4	1	0	0	0	0	0	2	1	11	0	10	0	10	0	0	2	0	9	21	0	1	0	7	0	0	4	7	4	7	0
"KOG0232"	1	4	2	0	2	2	1	2	1	2	1	2	0	1	0	1	2	2	1	4	4	1	2	3	2	1	2	1	5	2	1	1	4	1	2	2	2	2	2	2	1
"KOG0233"	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	2	0	1	1	1	1	1	1	0
"KOG0234"	4	7	0	0	2	3	2	3	2	2	4	2	0	0	0	0	3	4	4	4	4	1	4	1	0	0	5	1	4	3	0	2	4	1	3	5	3	1	0	4	2
"KOG0235"	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	5	1	1	0	1	1	1	0	1	1	0	1
"KOG0236"	5	4	0	1	3	2	2	2	1	3	5	5	1	1	1	0	1	5	1	1	0	4	6	0	2	1	2	1	4	18	0	6	2	3	3	2	6	5	2	0	2
"KOG0237"	1	2	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	3	0	3	1	0	1	0	0	1	1	1	0	0	0	1
"KOG0238"	2	7	0	0	2	3	3	1	2	1	2	2	0	0	0	0	2	2	0	2	0	2	2	2	0	0	3	3	6	3	0	2	3	2	0	3	2	1	0	2	2
"KOG0252"	4	7	0	0	2	4	1	2	8	2	3	1	0	0	0	1	0	3	1	0	0	0	8	0	0	0	0	0	1	7	0	1	0	0	5	1	4	0	1	0	4
"KOG0253"	0	0	0	0	2	0	2	0	5	6	2	0	0	0	0	0	0	0	0	0	0	2	1	3	0	0	2	0	0	4	0	0	2	3	1	0	0	0	0	0	3
"KOG0255"	1	0	0	0	0	0	0	0	0	14	0	0	0	0	0	1	1	13	0	0	0	0	2	0	0	0	1	0	0	3	0	0	0	0	16	2	2	0	0	0	15
"KOG0256"	0	0	0	0	0	0	0	0	0	3	1	2	0	0	0	0	0	3	0	0	0	1	1	1	0	0	1	0	3	0	0	1	0	1	0	1	2	0	0	0	1
"KOG0257"	3	2	0	0	1	1	1	1	2	3	3	1	0	0	0	1	1	1	0	1	0	4	1	3	0	0	3	0	1	6	0	1	0	4	1	4	2	2	0	1	3
"KOG0258"	2	4	0	0	1	1	1	1	1	1	1	1	0	0	0	3	1	1	1	1	2	2	2	1	0	0	1	1	3	2	0	2	6	2	1	1	1	2	1	1	0
"KOG0259"	1	2	0	0	1	1	1	1	1	0	1	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	2	1	2	1	0	1	0	1	0	1	1	1	0	0	0
"KOG0278"	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	1
"KOG0280"	2	2	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	2	1	1	1	2	1	1	2	1	1	1	0	1
"KOG0293"	1	5	0	0	1	1	0	4	1	2	1	1	0	0	0	2	0	1	1	0	0	1	4	2	0	0	2	1	9	4	1	2	4	1	0	1	0	2	1	0	1
"KOG0301"	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	0	1	1	2
"KOG0316"	1	1	0	0	1	1	1	1	1	1	0	1	0	0	0	2	1	0	0	0	2	1	1	2	0	0	2	1	3	1	1	1	0	1	1	2	1	0	1	0	1
"KOG0325"	0	2	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	1	0	1	1	0	1	2	1	1	1	1	0	1	2	1
"KOG0368"	1	2	0	0	1	1	2	1	1	1	2	2	0	0	0	0	1	1	5	1	0	1	1	1	2	0	1	1	1	3	2	1	0	1	0	1	1	1	2	1	1
"KOG0369"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0
"KOG0370"	2	7	0	0	1	1	3	2	2	2	2	1	0	0	0	0	1	3	4	1	0	2	4	2	0	0	7	0	9	14	1	1	0	2	1	2	2	0	1	1	0
"KOG0372"	5	4	1	1	2	2	0	2	0	1	0	1	0	2	1	6	1	2	1	4	0	0	2	3	1	2	5	0	1	2	1	1	4	0	1	1	2	3	1	4	2
"KOG0380"	3	5	1	1	3	3	3	2	4	1	1	3	1	1	0	0	2	1	0	0	4	1	2	3	1	1	5	1	8	1	1	3	4	1	2	0	2	2	2	0	1
"KOG0382"	1	0	0	0	0	0	1	1	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	18	0	0	0	0	0	2	1	1	0	0	0
"KOG0391"	1	2	0	0	0	1	1	2	1	0	0	5	0	0	1	0	1	0	1	1	0	0	1	6	0	0	2	0	0	2	1	12	0	11	0	3	0	1	1	1	0
"KOG0399"	2	2	0	0	1	1	2	1	2	1	1	0	0	0	0	0	0	1	2	0	0	1	2	1	0	0	0	0	1	3	1	0	0	0	1	3	2	0	0	0	1
"KOG0405"	0	2	0	0	1	1	1	1	2	1	2	1	0	0	0	0	0	1	2	1	0	2	1	0	2	0	1	1	3	2	2	1	2	3	1	1	1	2	2	1	1
